id,word,part_of_speech,phonetic,level,sources,tags,ko_first,ko_joined,en_definitions_joined,definitions_count,examples_joined,needs_korean_gloss
f2b195dcacbaa0f4,accident,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_6 | dictionary | open_source | wordnet,"어쩌다, 탈, 비명, 사고, 재난","어쩌다, 탈, 비명, 사고, 재난",anything that happens suddenly or by chance without an apparent cause || an unfortunate mishap; especially one causing damage or injury,2,winning the lottery was a happy accident || the pregnancy was a stroke of bad luck || it was due to an accident or fortuity,0
d609751d1b95e04a,acclaim,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_32 | band_42 | dictionary | open_source | wordnet,갈채하다,갈채하다,enthusiastic approval || praise vociferously || clap one's hands or shout after performances to indicate approval,3,the book met with modest acclaim || he acknowledged the plaudits of the crowd || they gave him more eclat than he really deserved,0
b5719e1f2a903848,acclaimed,,,AVL,AVL | Kengdic | cc-kedict,avl | band_35 | needs_definition | open_source,갈채하다,갈채하다,Open-source vocabulary entry for IELTS offline study: acclaimed.,1,,0
1a57c53489c4cd86,accolade,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_39 | dictionary | open_source | wordnet,나이트작 수여식,나이트작 수여식,a tangible symbol signifying approval or distinction,1,an award for bravery,0
84900cb68e875d99,accompany,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_5 | dictionary | open_source | wordnet,"따르다, 곁들이다, 동반, 동반하다, 반주하다","따르다, 곁들이다, 동반, 동반하다, 반주하다",perform an accompaniment to || go or travel along with || be present or associated with an event or entity || be a companion to somebody,4,The orchestra could barely follow the frequent pitch changes of the soprano || The nurse accompanied the old lady everywhere || French fries come with the hamburger,0
c3259afd125541d2,according,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_1 | dictionary | open_source | wordnet,"로, 대로, 종류별, 합법칙성, 합법칙적","로, 대로, 종류별, 합법칙성, 합법칙적",(followed by `to') as reported or stated by || (followed by `to') in agreement with or accordant with,2,according to historians || according to instructions,0
ca20728d35f00c3a,account,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_2 | band_3 | dictionary | open_source | wordnet,"계정, 계좌, 기사, 대장, 결산일","계정, 계좌, 기사, 대장, 결산일",the quality of taking advantage || importance or value || a record or narrative description of past events || an itemized statement of money owed for goods shipped or services rendered || a short account of the news || a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,6,she turned her writing skills to good account || a person of considerable account || he predicted that although it is of small account now it will rapidly increase in importance,0
c2d0f75d679b7185,accredit,verb,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_25 | dictionary | open_source | wordnet,"에 기인하는 것으로 하다, ...의 결과로[덕분으로] 보다, …에게 …이 있다고 믿다 〔To ascribe; attribute; credit with.〕, 승인하다, 인가하다 〔To send with letters credential, as an ambassador, envoy, or diplomatic agent; to authorize, as a messenger or delegate. 〕","에 기인하는 것으로 하다, ...의 결과로[덕분으로] 보다, …에게 …이 있다고 믿다 〔To ascribe; attribute; credit with.〕, 승인하다, 인가하다 〔To send with letters credential, as an ambassador, envoy, or diplomatic agent; to authorize, as a messenger or delegate. 〕",ascribe an achievement to || grant credentials to || provide or send (envoys or embassadors) with official credentials,3,She was not properly credited in the program || The Regents officially recognized the new educational institution || recognize an academic degree,0
acc7e4fb23683ebd,accrete,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_40 | dictionary | open_source | wordnet,"부착하다, 에 부착시키다","부착하다, 에 부착시키다",grow or become attached by accretion || grow together (of plants and organs),2,The story accreted emotion || After many years the rose bushes grew together,0
1931fe0922e09d95,accretion,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_22 | dictionary | open_source | wordnet,증대,증대,(law) an increase in a beneficiary's share in an estate (as when a co-beneficiary dies or fails to meet some condition or rejects the inheritance) || an increase by natural growth or addition || (geology) an increase in land resulting from alluvial deposits or waterborne sediment || (biology) growth by addition as by the adhesion of parts or particles || (astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases || something contributing to growth or increase,6,he scraped away the accretions of paint || the central city surrounded by recent accretions,0
da612b00046cfa57,accumulate,verb,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_8 | dictionary | nawl | open_source | wordnet,"적립하다, 축적하다","적립하다, 축적하다",collect or gather || get or gather together,2,Journals are accumulating in my office || The work keeps piling up || I am accumulating evidence for the man's unfaithfulness to his wife,0
49d1ce879609aeee,accumulation,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_11 | dictionary | nawl | open_source | wordnet,"누적, 산적, 적립, 집적, 축적","누적, 산적, 적립, 집적, 축적",the act of accumulating || several things grouped together or considered as a whole || (finance) profits that are not paid out as dividends but are added to the capital base of the corporation || an increase by natural growth or addition,4,,0
26de05a44d1e5fe8,accuracy,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_5 | dictionary | nawl | open_source | wordnet,"정밀, 정확, 적실성","정밀, 정확, 적실성",the quality of being near to the true value || (mathematics) the number of significant figures given in a number,2,he was beginning to doubt the accuracy of his compass || the lawyer questioned the truth of my account || the atomic clock enabled scientists to measure time with much greater accuracy,0
72c8f75b62572f59,accurate,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_5 | dictionary | open_source | wordnet,"적실, 정밀한","적실, 정밀한","conforming exactly or almost exactly to fact or to a standard or performing with total accuracy || (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",2,an accurate reproduction || the accounting was accurate || accurate measurements,0
659e53757c3394cb,accurately,adverb,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_7 | dictionary | nawl | open_source | wordnet,"정확히, 또박또박, 정밀하게","정확히, 또박또박, 정밀하게",with few mistakes || strictly correctly,2,he works very accurately || repeated the order accurately,0
2014850b5c126a09,accused,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_21 | dictionary | open_source | wordnet,"피고인, 피의자","피고인, 피의자",a defendant in a criminal proceeding,1,,0
e7059c041d870f5d,accustom,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_17 | dictionary | open_source | wordnet,늘하는식의,늘하는식의,make psychologically or physically used (to something),1,She became habituated to the background music,0
f9659d46b223f5c9,achieve,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_2 | dictionary | open_source | wordnet,"얻다, 이루다, 해내다, 관철하다, 달성하다","얻다, 이루다, 해내다, 관철하다, 달성하다",to gain with effort,1,she achieved her goal despite setbacks,0
05e9de59d9aaafaf,achiever,noun,,AVL,AVL | WordNet,avl | band_24 | dictionary | needs_korean_gloss | open_source | wordnet,한국어 뜻 보강 필요,한국어 뜻 보강 필요,a person with a record of successes,1,his son would never be the achiever that his father was || only winners need apply || if you want to be a success you have to dress like a success,1
434b0a6daa530638,acid,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_5 | dictionary | nawl | open_source | wordnet,"산, 신, 신맛, 산시험","산, 신, 신맛, 산시험",street name for lysergic acid diethylamide || any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt || having the characteristics of an acid || harsh or corrosive in tone || being sour to the taste,5,an acid reaction || an acerbic tone piercing otherwise flowery prose || a barrage of acid comments,0
a11659b65774a089,acidic,adjective,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_26 | dictionary | nawl | open_source | wordnet,"까다로운, 가혹한, 산성의, 신랄한","까다로운, 가혹한, 산성의, 신랄한",being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7) || being sour to the taste,2,,0
7a1283feffacc30f,acidity,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_36 | dictionary | open_source | wordnet,"산도, 산성, 신맛","산도, 산성, 신맛",the property of being acidic || pH values below 7 || the taste experience when something acidic is taken into the mouth,3,,0
64226efef06c2d6f,acoustic,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_16 | band_28 | dictionary | open_source | wordnet,"음향학, 음향효과, 음향음성학, 보청의, 음향 상태","음향학, 음향효과, 음향음성학, 보청의, 음향 상태",a remedy for hearing loss or deafness || of or relating to the science of acoustics,2,acoustic properties of a hall,0
69efcfe56e92d4e6,acquaint,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_18 | dictionary | open_source | wordnet,"숙지시키다, 정통한","숙지시키다, 정통한",inform || make familiar or conversant with || cause to come to know personally,3,Please acquaint your colleagues of your plans to move || you should acquaint yourself with your new computer || We familiarized ourselves with the new surroundings,0
7e875ee3db3b8fc8,acquiesce,verb,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_26 | dictionary | open_source | wordnet,"동의하다, 묵인하다","동의하다, 묵인하다",to agree or express agreement,1,The Maestro assented to the request for an encore,0
657d3c7714fb8d9f,acquire,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_3 | dictionary | open_source | wordnet,"습득, 습득하다","습득, 습득하다","come to have or undergo a change of (physical features and attributes) || take on a certain form, attribute, or aspect || gain through experience || gain knowledge or skills || come into the possession of something concrete or abstract || win something through one's efforts",6,He grew a beard || The patient developed abdominal pains || I got funny spots all over my body,0
fc610a6143223299,acquired,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_21 | dictionary | open_source | wordnet,후천성면역결핍증,후천성면역결핍증,gotten through environmental forces,1,acquired characteristics (such as a suntan or a broken nose) cannot be passed on,0
4309755d24721f77,acreage,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_25 | dictionary | open_source | wordnet,"토지, 평수, 에이커 수","토지, 평수, 에이커 수",an area of ground used for some particular purpose (such as building or farming),1,he wanted some acreage to build on,0
18b1ec962b261976,acronym,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_23 | dictionary | open_source | wordnet,"략어, 약어, 약자, 두문자어, 머리 글자만 모아 만든 말","략어, 약어, 약자, 두문자어, 머리 글자만 모아 만든 말",a word formed from the initial letters of the several words in the name and pronounced as one word,1,`NATO' is an initialism for North Atlantic Treaty Organization || the word `scuba' is an acronym for s(elf)-c(ontained) u(nderwater) b(reathing) a(pparatus),0
59d5346f701a7e15,acrylic,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_41 | dictionary | open_source | wordnet,"아크릴산, 아크릴섬유, 아크릴수지, 아크릴의","아크릴산, 아크릴섬유, 아크릴수지, 아크릴의",a synthetic fabric || used especially by artists || a glassy thermoplastic; can be cast and molded or used in coatings and adhesives || polymerized from acrylonitrile,4,,0
2c1e2b1daf8e75bb,activate,verb,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_10 | dictionary | nawl | open_source | wordnet,"동원하다, 활성화하다","동원하다, 활성화하다",make active or more active || make (substances) radioactive || aerate (sewage) so as to favor the growth of organisms that decompose organic matter || make more adsorptive || put in motion or move to act,5,activate an old file || activate a metal || trigger a reaction,0
0a2a5fb75e421181,activated,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_28 | dictionary | open_source | wordnet,활성탄,활성탄,(military) set up and placed on active assignment || rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive || (of e.g. a molecule) made reactive or more reactive || (of sewage) treated with aeration and bacteria to aid decomposition,4,a newly activated unit,0
